Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Preferred Distributors)],SKU [Lowest Price (Preferred Distributors)],Packaging [Lowest Price (Preferred Distributors)],Unit Price (@ Batch Size: 1) [Lowest Price (Preferred Distributors)],Line Total [Lowest Price (Preferred Distributors)],Batch Total [Lowest Price (Preferred Distributors)],In Stock [Lowest Price (Preferred Distributors)],MOQ [Lowest Price (Preferred Distributors)],URL [Lowest Price (Preferred Distributors)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,,,,,,,,,,
A000066,1,Arduino,A000066,https://octopart.com/a000066-arduino-21222240,ATmega328 Microcontroller Uno Development Board 16MHz CPU 2KB RAM 1KB/32KB EEPROM/Flash,,,,,18w,Compliant,1,1050-1024-ND,782-A000066,78T1601,A000066,,Box,,,Bulk,,27.6,27.6,25.81,27.6,,4465,4287,300,202,,1,1,1,1,,https://octopart.com/opatz8j6/a1?t=yfdEnYRPE2G3UDQWtGl6-Tb67PEnG4x_E2cFqXHuJz-2X8zULKbIro5qQda6WJPq1EoR8ZgT2Y3B88Rsb9mpULGSSqhg-x-mceK5QGTWaMHHTsNFwQHDjWhj9KcAv_HHkdzHrGTmNmiEXBSOc-_mOE8oKCUKOQUfYG6yNHJpWy1Neyn2M4W3a6xrv1fWgwgw0t2xNRsbyl4U3e4b8Zd42tgcB6VNML7IbysHCCsoJXBpOLnYQ3Yzj6aGiYAEqsdep9QiMjPW8blGRDLUIXniyn4KWYvnt38,https://octopart.com/opatz8j6/a1?t=Gye5OVeD8mXjiRKwJxzxLnllYayHFurHjFUp3kaEuZKVvnRXIXbMn48kSJeEuwjUu52NOi7On-LbDHnoz9Ru7prbPjCO9uUj-hAhsOzbbBb951O1zGSfxZ3m2z8EwYbdGNt3fbk-BDRtMcBjHesE94Q6c0bji1uZYQu4sfTDS7JhaImETyTkHjlKa9YM780zrBzGVOm_GNAqvZ2bctUtGnD0-QkmiIxJLql6CtnpyWMLDK756FDKoi-rifVeaGOj4PffpTLw9eAJu1Ngi6xgdSE_pM7BidN3,https://octopart.com/opatz8j6/a1?t=8Eq_XhGKrMeCWOVAHE82mPPfIw2sT8X13bp8eyCd9vs36CBenmjIUsVAZzS-H3jro70xG2y05pmdNhK0IVbMSDiwncK6aB1uNlL-VLDNStSJ1btNp6aCVIN2DR1URmDQW0lM_pTVrJZ-kABsiyr4_jIh7YbixfsPgqzEUAnGCIBdmHKExSJGM4uOgsX6oUhvIfduLSFiLax2w7tpi7v4d9YNioGxbLUOarE2YcGoO6wWVH5k7-kKxdwpeYfpOqLFZQXmhBY20My6HXEpYjSOPFupR7zbBtNx,https://octopart.com/opatz8j6/a1?t=f3cvHb0wgvtLYH-1SzpA9Zjlo9Ys3rjpPg2KLzwmaBmFpQdvu5sk5ii-1uwOgZSV3OVNqYbM1V3Je6XsUp_jB5QfjG7B6lSPnKncnoZXUHfJ0QwCRjNm00iT0VlixpWxO9hJza6XiV5t05TGET--0Qq8wsBR4ua-WdWWSZZ4kyZM53V80rI12LsePafzcWwnw70_UbxqtSU0DsUo_SkBHdtBYSo-SMLLkfJl8rJ5H0agVJA-OdB8Gs2zIi5VI2KbK4zUsKh-sVadQ1Z8JMG0almgKhvrBmCONw,,Newark,78T1601,,25.81,25.81,25.81,300,1,https://octopart.com/opatz8j6/a1?t=8Eq_XhGKrMeCWOVAHE82mPPfIw2sT8X13bp8eyCd9vs36CBenmjIUsVAZzS-H3jro70xG2y05pmdNhK0IVbMSDiwncK6aB1uNlL-VLDNStSJ1btNp6aCVIN2DR1URmDQW0lM_pTVrJZ-kABsiyr4_jIh7YbixfsPgqzEUAnGCIBdmHKExSJGM4uOgsX6oUhvIfduLSFiLax2w7tpi7v4d9YNioGxbLUOarE2YcGoO6wWVH5k7-kKxdwpeYfpOqLFZQXmhBY20My6HXEpYjSOPFupR7zbBtNx,
101991032,2,Seeed Studio,101991032,https://octopart.com/101991032-seeed+studio-133956732,"Board, Grove Ac-voltage Sensor, MCP6002;",,,,,26w,,2,1597-101991032-ND,,74AK7838,101991032,,Bulk,,,Bulk,,3.9,,3.73,3.54,,317,,5,0,,1,,1,1,,https://octopart.com/opatz8j6/a1?t=UhATJteNh9OeB-eC7rwQxupnNDis2NV1GikajR7VJEqJIdEAx24asTNHeg88Xxb9U4EVB8Bx9gsSh24R-rRVEJtGKbWfChcTcwLeYxQoCPTUOWE9E6IS19JjkUuI_RsPzbJLya1IcjUzwCa_2Obw-fXdxWQLccTOqwj1S6-LrLY4GXp6k_BkBG3EOYzpKkipg2TglPUVz8PBuA0XhcC5Vyp2ceNEVITX7csS-VU3VZY3DO5YuF02jFAkiI6OX1U8ywfdfQ,,https://octopart.com/opatz8j6/a1?t=lKnWOfr_JymMymRNKOqyd2KuUbxKZD-2h0cazNwP-P0opagrGRsDLVBMosbORK06YjPxWL4y_b3JTvpzhM8Za-g4xg_swMMBktG16aAfbesUc0IwPjQPgl49QlEjvOIzJDq_-gb6tMrThg-Ppu2j6-9l-dcButSc2j_RM2yw0Sx4YlGDwms9OdJxq-auzHbK_iG2OKrubf6RT1OvRVie0mUl2JMZUs_PwAUbW91Khh5KjHdwuQmZShSr5hD6d2Sk8vpY-Gk,https://octopart.com/opatz8j6/a1?t=8zDL6QiZwZJjdchVwPn7ZOSNsZLVOf6oxqqOTnILP7aFBl94WuFkBOfCSkXlAXX3DH_eKh6ODWeQApjtEjFNeK1ds1g1AKcrBno4DSeY90sR20UFFZrAKs-jX2BLjbwS4RgxohWy1RNWh9CHwut1jKlhTq2sLoRNcgThpc4ligYveF-iXEimRhQjOS2eCFEC45c7Oen6qxBDDia6XIV1r_Le8Fw-eHEOpO3nGetiTAJQT2VqSAwg00L91ltFV1L1FiIsZvU,,Onlinecomponents.com,101991032,Bulk,3.54,7.08,7.08,0,1,https://octopart.com/opatz8j6/a1?t=8zDL6QiZwZJjdchVwPn7ZOSNsZLVOf6oxqqOTnILP7aFBl94WuFkBOfCSkXlAXX3DH_eKh6ODWeQApjtEjFNeK1ds1g1AKcrBno4DSeY90sR20UFFZrAKs-jX2BLjbwS4RgxohWy1RNWh9CHwut1jKlhTq2sLoRNcgThpc4ligYveF-iXEimRhQjOS2eCFEC45c7Oen6qxBDDia6XIV1r_Le8Fw-eHEOpO3nGetiTAJQT2VqSAwg00L91ltFV1L1FiIsZvU,
VMA323,2,Velleman,VMA323,https://octopart.com/vma323-velleman-106695038,Current Sensor Acs712 Module - 20 A/Blister Card |Velleman VMA323,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN0097,1,DFRobot,SEN0097,https://octopart.com/sen0097-dfrobot-77801221,Light Intensity Sensor Breakout Board;,,,,,4w,,1,1738-1100-ND,426-SEN0097,,,,Bulk,Bulk,,,,4.5,4.5,,,,25,14,,,,1,1,,,,https://octopart.com/opatz8j6/a1?t=HfWAuLkNSK4YeLgDse0TIEzsZCEyPJdynGNC8eWa2OwGzxlf8r6GQ3QMI2nwExVMzPYcnvwjVph80vuODIaD4jIY8diu6eZaKvOHUrKFc_Ugc32srwgpWUeVYHUF3Rm8jQlksHZpu2AgZYCeU27RUQfIrpDadWLvAkH1nHygPGltl2afUedhPixayFOAISluOgz8pOJVQb89Gyx3gTdSETXb5RTcjzL6A6aIsXytodgKdOJC9QD0guKdIDcGa2x7o80g,https://octopart.com/opatz8j6/a1?t=YsoMRxBNSxVlP5NOvnY4CGyhplEKyzIDeBHSZuYtQm49XN0-uooB48tQiXucTWovAK7jNyyaIBvsMco-fjJulRAzK2Uszr_wYAHxciuN4uAbK7DYZ8o_WXjHGnBN8Z0bFePQCyEXXbLn5cs47nuTKF8lttfQWT5DzXXN40629-gvkRanLEFT1cRyxp8YaSqvURBvvpPhJEy2UOQp-N5Z8mnimqIbWOBEQtvx13jMbsH-2bt4DV64OKkHz9oARypKmRlUnA,,,,DigiKey,1738-1100-ND,Bulk,4.5,4.5,4.5,25,1,https://octopart.com/opatz8j6/a1?t=HfWAuLkNSK4YeLgDse0TIEzsZCEyPJdynGNC8eWa2OwGzxlf8r6GQ3QMI2nwExVMzPYcnvwjVph80vuODIaD4jIY8diu6eZaKvOHUrKFc_Ugc32srwgpWUeVYHUF3Rm8jQlksHZpu2AgZYCeU27RUQfIrpDadWLvAkH1nHygPGltl2afUedhPixayFOAISluOgz8pOJVQb89Gyx3gTdSETXb5RTcjzL6A6aIsXytodgKdOJC9QD0guKdIDcGa2x7o80g,
DFR0198,1,DFRobot,DFR0198,https://octopart.com/dfr0198-dfrobot-82344112,Waterproof DS18B20 Digital Temperature Sensor for Arduino | DFRobot DFR0198,,,,,4w,Non-Compliant,1,1738-1311-ND,426-DFR0198,87AH5868,,,Bulk,Bulk,,,,6.9,6.9,7.96,,,762,58,2,,,1,1,1,,,https://octopart.com/opatz8j6/a1?t=2V8ju5McjiE9bli1U0asinALjJG5Ydj-K99dxMJVz19ByZcO5Obe_b2dRxHeA9_JEi06jXP5ugDhGd3Lq5jyfAdLhHtHwu3L4NbLUobzlQ6vkFcZWEeHXrRnZiKFmfbUEAEQ_8YQpu_u3blF6qLe_2K0ScTk_u7XItC2JcAbRL-pDyzIxOO6bRDwDro3wV4NQ3qesvwsRh3bILwvXJBPGtNdLEO8B1Gucg_y_eXBg0yVxTkOthgt8N2A7YbYm45ka5LPfii8pdWyJK0lnom0_VAe2r6ixc6H,https://octopart.com/opatz8j6/a1?t=_1qqiZ6Ex6qYgHtbTSXQNvHVVDk14VEEXpbYxjQuP8GsCA4uQChIosDKob7JfOhsm99s5PVs0BaweyhMWjBwx6La6LcIqkj_GVHw4xf521UYmLrVxr21zDeUbcUzqO3tOF-5Luzcsa8Ei9G1pDG-xdjBj7TXGQI2k-PFoVVJKFpczI9SNxd3qNZzSApfIeB8IMN-tvtwSSMUKMENPaKPbHQn9DfypCJR8eFLi1B6ircIrHOvcys6MtxSkvrpI3XvOxSMw5GYm-yiftXe7C_AfE8E3-O6csUryg,https://octopart.com/opatz8j6/a1?t=Vg2fWuHMlrq2CpSa61ROebU4OVAnpN2KZjfuHLiCQldwCAxwSoZNrIHcYk5EpPFpwNstf2tb4yOAPriMLSVvv3W-ydaFhbp0Y2I29AvCSCws8UKNzPmsifjKcQuvx2RI9E10lF5yvOpMkoE5JvBvkEwnlt4OIcUBesxEhCPeITPh1P1x7fCmlpVeyWJWW1-WmsYDkcSBVkeGTuns3GoQCE2WyVWscUgG0tlGdXGZubHSzWBUIIDsxICqZOakW7bnxrirWbubAkABvihVuTCX9-K571rYVrvbZQ,,,DigiKey,1738-1311-ND,Bulk,6.9,6.9,6.9,762,1,https://octopart.com/opatz8j6/a1?t=2V8ju5McjiE9bli1U0asinALjJG5Ydj-K99dxMJVz19ByZcO5Obe_b2dRxHeA9_JEi06jXP5ugDhGd3Lq5jyfAdLhHtHwu3L4NbLUobzlQ6vkFcZWEeHXrRnZiKFmfbUEAEQ_8YQpu_u3blF6qLe_2K0ScTk_u7XItC2JcAbRL-pDyzIxOO6bRDwDro3wV4NQ3qesvwsRh3bILwvXJBPGtNdLEO8B1Gucg_y_eXBg0yVxTkOthgt8N2A7YbYm45ka5LPfii8pdWyJK0lnom0_VAe2r6ixc6H,
410-380,1,Digilent,410-380,https://octopart.com/410-380-digilent-92737422,Pmod Microsd Card Slot Rohs Compliant: Yes |Digilent 410-380,,,,,7w,,1,1286-1200-ND,424-410-380,,,,Bag,,,,,7.55,7.87,,,,58,148,,,,1,1,,,,https://octopart.com/opatz8j6/a1?t=5EFbsa0pp2zaPKh3u28nEOICZqrt9F-oJT7zg-2qIN3hEsiDr_ehi0IQjpapi8yH5aqiCGz2JZg2NEBUJQeCIy40qkf-K97wzP12RdCS9-9R-LcIY0oKRb-TFeVbjQsbUuN18uMEyPhDsUkW4u1LsHPwA_NtnZjr8iV9mmk7APx7PrXRH5KDYQy3Dzk4db8Be989EZNfck1P5yEG0q6YVfxOM4m5N0RieA8xC_mPLD2rBS8JOPvshVdEtjMV_Cddb_hm,https://octopart.com/opatz8j6/a1?t=b4yqDe_OgoPbS99sqp8JTrZ2mTGI9_dMsOsm0bABOxOetfN6A7H2dzS0KryP-WxXSTjexEQ46K_M0UlSrcFAQHgPO0eGtpyYegpSY_7NIK8Jxd7S_RKdTHzaCqLXi3OoBLW3uzn6HbVB9KVDccYErgWoWBlF4m4dfHjSAlZjIIqkHgFDBvE-rAEccuQTtydiuXEfi4NkfETvbs_H-9Fan04iGWgtL0TtU4asP0aJ66BBbwJSp5M_V7YU75OI13yiB56PjA,,,,DigiKey,1286-1200-ND,Bag,7.55,7.55,7.55,58,1,https://octopart.com/opatz8j6/a1?t=5EFbsa0pp2zaPKh3u28nEOICZqrt9F-oJT7zg-2qIN3hEsiDr_ehi0IQjpapi8yH5aqiCGz2JZg2NEBUJQeCIy40qkf-K97wzP12RdCS9-9R-LcIY0oKRb-TFeVbjQsbUuN18uMEyPhDsUkW4u1LsHPwA_NtnZjr8iV9mmk7APx7PrXRH5KDYQy3Dzk4db8Be989EZNfck1P5yEG0q6YVfxOM4m5N0RieA8xC_mPLD2rBS8JOPvshVdEtjMV_Cddb_hm,
MFR50SJT-52-1K2,1,Yageo,MFR50SJT-52-1K2,https://octopart.com/mfr50sjt-52-1k2-yageo-104807304,General Type Metal Film Resistor 1.2kOhm 1/2W 5% Axial Ammo Pack,,,,,24w,,1,,603-MFR50SJT-52-1K2,,,,,Ammo Pack,,,,,0.1,,,,,3168,,,,,1,,,,,https://octopart.com/opatz8j6/a1?t=kp-GA8_x02H83bMDlId_RsZwfYcZ1rIePg4egf7i6JQ4Rq-E4wZSuT9UdMAZGi1n0CNqNscko3XJ0uIBJ2D-oZUNYPj1OK178wBlGoN5jJDTqmBu3drvsANecyaMZgi1FW-c-fzse2xxL4Eo_zqhfVgnB9GK5i4MoJxkxMv1Y_I5lcvpc3YVyzhx7r5MfZqHJRgi-mVr3AqGL4HlSbztAuhljnDXBd61UBkA2zYAvNNvdFkeAYibvqI7TBDIRIJbLc7VhrU,,,,Mouser,603-MFR50SJT-52-1K2,Ammo Pack,0.1,0.1,0.1,3168,1,https://octopart.com/opatz8j6/a1?t=kp-GA8_x02H83bMDlId_RsZwfYcZ1rIePg4egf7i6JQ4Rq-E4wZSuT9UdMAZGi1n0CNqNscko3XJ0uIBJ2D-oZUNYPj1OK178wBlGoN5jJDTqmBu3drvsANecyaMZgi1FW-c-fzse2xxL4Eo_zqhfVgnB9GK5i4MoJxkxMv1Y_I5lcvpc3YVyzhx7r5MfZqHJRgi-mVr3AqGL4HlSbztAuhljnDXBd61UBkA2zYAvNNvdFkeAYibvqI7TBDIRIJbLc7VhrU,
151051BS04000,1,Wurth Elektronik,151051BS04000,https://octopart.com/151051bs04000-wurth+elektronik-29717812,"Single Color LED, Blue, Diffused, T-1 3/4, 4.9mm",,,,,11w,Compliant,1,732-5015-ND,710-151051BS04000,95W3832,,,Bulk,Bulk,,,,0.26,0.26,,,,7501,5132,1108,,,1,1,5,,,https://octopart.com/opatz8j6/a1?t=hecHwpQghl5n8zT7gCzn3RW0ftv4BVPM03xAgbZ969T1VI4FDR-W0gCnAJXmI8kVzhZeMupALTdVc2wUQZLeIz60axurf-sEdanPIWWQ8Jtpl0jq7lrfZG1VY-kiZFaB_I4-fgOiGp7xyVQDjwLzWAp0-fFHnR-ysenPIrV_w5Ii6T2zPMkeWG3WKg5ohXEeAPK6bBZz-AlFdrKyw3QfxEeusYUyW6eH5mfM27Ucpb2KCM7DQuQAoMSc8CSlVMGNyy0,https://octopart.com/opatz8j6/a1?t=5Dc2lH0IkqgUaIOL1y4gi0_eF7F1BKV3MHWC4ihMd6-SQV2CNXT93Z5eVPC2IUWjyCuXc0tepMmbhk7w8gPOubjSnISzODnrT0Y2SgDpU8EZkFbU6ALUtG92rsLUTT9A4V2OaBh4WR0R093Clfw5wNUgQA8_mur6R0h-nxVtq18XtWVH-z1BBT8-aU2qqdRuQ6YbB61oMnDzOOeIUiV92SGWynrvyX52zNf1VgKTLcWcba9DCjMJQEkUJ0rry63Ecj5fbQ,https://octopart.com/opatz8j6/a1?t=kRFENfCEu1uSOwXhrDW1ixTOaLAb7GX1HXB8SGMICuZnpwnhCA5i3V7szO0i03xLbj8nc3DrU4pPEpJ3eCcqBLyPOIUHjj5QYzMKs37ajfPCQcPdaHy1nuT61PzNgjahTNkl4bNo-A5r_YbXV5P7EnHpDj2OdbjaxWTPAm2QXaa16EC0A3gaCh1EfHMwQuA8dYQgRJ-d9EFnXO9Qih7RAWYFUaIoLGY6ku3QvSCQr_tdDQHurGQ8NmOUe2TAamABXpBq,,,DigiKey,732-5015-ND,Bulk,0.26,0.26,0.26,7501,1,https://octopart.com/opatz8j6/a1?t=hecHwpQghl5n8zT7gCzn3RW0ftv4BVPM03xAgbZ969T1VI4FDR-W0gCnAJXmI8kVzhZeMupALTdVc2wUQZLeIz60axurf-sEdanPIWWQ8Jtpl0jq7lrfZG1VY-kiZFaB_I4-fgOiGp7xyVQDjwLzWAp0-fFHnR-ysenPIrV_w5Ii6T2zPMkeWG3WKg5ohXEeAPK6bBZz-AlFdrKyw3QfxEeusYUyW6eH5mfM27Ucpb2KCM7DQuQAoMSc8CSlVMGNyy0,
SSL-LX3052ID,1,Lumex,SSL-LX3052ID,https://octopart.com/ssl-lx3052id-lumex-551063,"SSL-LX3052ID Red LED, 627 nm T1 (3 mm) Diffused, Dome Lens Through Hole package | Lumex SSL-LX3052ID",,,,,14w,Compliant,1,67-1402-ND,696-SSL-LX3052ID,,SSL-LX3052ID,,Bulk,Bulk,,Bulk,,0.45,0.41,,,,8888,1233,,10018,,1,1,,1000,,https://octopart.com/opatz8j6/a1?t=WzvDj57b9JHg5UvJEm3YR6rkvOJNjJb2xqipyj0ztTuxJ5mjaOYi5jMWv7gzD92wQ03W8f4PZnYyjfk4fQW9b8iiB0rAHO1uc92e4eKOIsxmFsiElovKnQ6CqgO_4pNkwqRhP9Mhj62LXLs4b5ZZMfl6MpFnCQTGFJ7EMaj83-s_WdbUOdDOvDgzdf2vkKkhxMYKA1CF9prWUc6ou5URLhe7BuCJnCgTCrv8Skt6eL-wMVLZFcdZGbs9Pn0dGmA,https://octopart.com/opatz8j6/a1?t=XPOqlGOSWB-1Vx7R25GiQI1M2wW4H6qDjTxNLil20uP9mnHRa5uwd2_T07_RqEZoqUpE6fx9RyRvESL9L4ukCihOrs5xSgkwCiMMJvodCRJFylYMSIukFStZGqaDfaFEPm9HQdFHxykE2CY_k2Sjp6ifT7KSXBCTrOQCrKd8Lid6dVsSlkIBfqWpoJxf751_5Ywr75Ef5Vt5CZZB23MzeFdXTlX_KYXKYoVrbLP2AMzMNNX83kgJcgv3BgwkYkIiXg,,https://octopart.com/opatz8j6/a1?t=0vY-1uN-FTaw6gpnjuk_T0yLTRDY7wlfP8Ri83suMaza7bRbcVnarA4amAPKnSpg3zsBjjEDBGlOtaFG4gwl8n1_W2G6oaJB3V3FrpDJOVwkxl3-tVFsCKa62VuqOKkVxzo24KlA8M0h34VRTab-UfrPSCF4btmd2JrJcCy1kLJ_liRqiHHNt2CuI2LdAxP-K3WdnOnfYSzALqHUvCGvOcFwsoKx42Eg642soq_LdU8bEFEsl4E0vq2ajcjW0Lid4w,,Mouser,696-SSL-LX3052ID,Bulk,0.41,0.41,0.41,1233,1,https://octopart.com/opatz8j6/a1?t=XPOqlGOSWB-1Vx7R25GiQI1M2wW4H6qDjTxNLil20uP9mnHRa5uwd2_T07_RqEZoqUpE6fx9RyRvESL9L4ukCihOrs5xSgkwCiMMJvodCRJFylYMSIukFStZGqaDfaFEPm9HQdFHxykE2CY_k2Sjp6ifT7KSXBCTrOQCrKd8Lid6dVsSlkIBfqWpoJxf751_5Ywr75Ef5Vt5CZZB23MzeFdXTlX_KYXKYoVrbLP2AMzMNNX83kgJcgv3BgwkYkIiXg,
